title,description,price,rating,num_of_reviews
Lenovo IdeaTab,"7"" screen, Android",69.99,5,12
IdeaTab A3500L,"Black, 7"" IPS, Quad-Core 1.2GHz, 8GB, Android 4.2",88.99,5,5
Acer Iconia,"7"" screen, Android, 16GB",96.99,5,3
Galaxy Tab 3,"7"", 8GB, Wi-Fi, Android 4.2, White",97.99,5,4
Iconia B1-730HD,"Black, 7"", 1.6GHz Dual-Core, 8GB, Android 4.4",99.99,5,10
Memo Pad HD 7,"IPS, Dual-Core 1.2GHz, 8GB, Android 4.3",101.99,5,12
Asus MeMO Pad,"7"" screen, Android, 8GB",102.99,5,1
Amazon Kindle,"6"" screen, wifi",103.99,5,14
Galaxy Tab 3,"7"", 8GB, Wi-Fi, Android 4.2, Yellow",107.99,5,4
IdeaTab A8-50,"Blue, 8"" IPS, Quad-Core 1.3GHz, 16GB, Android 4.2",121.99,5,5
MeMO Pad 7,"White, 7"", Atom 1.2GHz, 8GB, Android 4.4",130.99,5,12
IdeaTab A3500-H,"Blue, 7"" IPS, Quad-Core 1.3GHz, 8GB, 3G, Android 4.2",148.99,5,5
IdeaTab S5000,"Silver, 7"" IPS, Quad-Core 1.2Ghz, 16GB, 3G, Android 4.2",172.99,5,5
Galaxy Tab 4,"LTE (SM-T235), Quad-Core 1.2GHz, 8GB, Black",233.99,5,4
Galaxy Tab,"16GB, White",251.99,5,4
MeMo PAD FHD 10,"White, 10.1"" IPS, 1.6GHz, 2GB, 16GB, Android 4.2",320.99,5,12
Galaxy Note,"10.1"", 3G, Android 4.0, Garnet Red",399.99,5,4
Galaxy Note,"12.2"", 32GB, WiFi, Android 4.4, White",489.99,5,4
iPad Mini Retina,"Wi-Fi + Cellular, 32GB, Silver",537.99,5,1
Galaxy Note 10.1,"10.1"", 32GB, Black",587.99,5,4
Apple iPad Air,"Wi-Fi, 64GB, Silver",603.99,5,5
